,GEO,Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A),Gender (3),VALUE
382,Alberta,21200 Architects,Men+,850
383,Alberta,21200 Architects,Women+,390
384,Alberta,21201 Landscape architects,Total - Gender,190
385,Alberta,21201 Landscape architects,Men+,130
386,Alberta,21201 Landscape architects,Women+,60
387,Alberta,21202 Urban and land use planners,Total - Gender,3075
388,Alberta,21202 Urban and land use planners,Men+,1830
389,Alberta,21202 Urban and land use planners,Women+,1250
390,Alberta,21203 Land surveyors,Total - Gender,1275
391,Alberta,21203 Land surveyors,Men+,1170
392,Alberta,21203 Land surveyors,Women+,100
393,Alberta,"2121 Mathematicians, statisticians, actuaries and data scientists",Total - Gender,1940
394,Alberta,"2121 Mathematicians, statisticians, actuaries and data scientists",Men+,1255
395,Alberta,"2121 Mathematicians, statisticians, actuaries and data scientists",Women+,690
396,Alberta,"21210 Mathematicians, statisticians and actuaries",Total - Gender,530
397,Alberta,"21210 Mathematicians, statisticians and actuaries",Men+,310
398,Alberta,"21210 Mathematicians, statisticians and actuaries",Women+,220
399,Alberta,21211 Data scientists,Total - Gender,1415
400,Alberta,21211 Data scientists,Men+,945
401,Alberta,21211 Data scientists,Women+,465
402,Alberta,2122 Computer and information systems professionals,Total - Gender,21090
403,Alberta,2122 Computer and information systems professionals,Men+,14520
404,Alberta,2122 Computer and information systems professionals,Women+,6570
405,Alberta,21220 Cybersecurity specialists,Total - Gender,1020
406,Alberta,21220 Cybersecurity specialists,Men+,795
407,Alberta,21220 Cybersecurity specialists,Women+,225
408,Alberta,21221 Business systems specialists,Total - Gender,3490
409,Alberta,21221 Business systems specialists,Men+,1865
410,Alberta,21221 Business systems specialists,Women+,1625
411,Alberta,21222 Information systems specialists,Total - Gender,14115
412,Alberta,21222 Information systems specialists,Men+,10520
413,Alberta,21222 Information systems specialists,Women+,3590
414,Alberta,21223 Database analysts and data administrators,Total - Gender,2470
415,Alberta,21223 Database analysts and data administrators,Men+,1340
416,Alberta,21223 Database analysts and data administrators,Women+,1135
417,Alberta,"2123 Computer, software and Web designers and developers",Total - Gender,19605
418,Alberta,"2123 Computer, software and Web designers and developers",Men+,15725
419,Alberta,"2123 Computer, software and Web designers and developers",Women+,3880
420,Alberta,21230 Computer systems developers and programmers,Total - Gender,2230
421,Alberta,21230 Computer systems developers and programmers,Men+,1795
422,Alberta,21230 Computer systems developers and programmers,Women+,435
423,Alberta,21231 Software engineers and designers,Total - Gender,4880
424,Alberta,21231 Software engineers and designers,Men+,4100
425,Alberta,21231 Software engineers and designers,Women+,775
426,Alberta,21232 Software developers and programmers,Total - Gender,7640
427,Alberta,21232 Software developers and programmers,Men+,6410
428,Alberta,21232 Software developers and programmers,Women+,1230
429,Alberta,21233 Web designers,Total - Gender,1125
430,Alberta,21233 Web designers,Men+,615
431,Alberta,21233 Web designers,Women+,505
432,Alberta,21234 Web developers and programmers,Total - Gender,3735
433,Alberta,21234 Web developers and programmers,Men+,2805
434,Alberta,21234 Web developers and programmers,Women+,925
435,Alberta,213 Professional occupations in engineering,Total - Gender,40795
436,Alberta,213 Professional occupations in engineering,Men+,33840
437,Alberta,213 Professional occupations in engineering,Women+,6950
438,Alberta,2130 Civil and mechanical engineers,Total - Gender,19120
439,Alberta,2130 Civil and mechanical engineers,Men+,16055
440,Alberta,2130 Civil and mechanical engineers,Women+,3065
441,Alberta,21300 Civil engineers,Total - Gender,10435
442,Alberta,21300 Civil engineers,Men+,8410
443,Alberta,21300 Civil engineers,Women+,2030
444,Alberta,21301 Mechanical engineers,Total - Gender,8685
445,Alberta,21301 Mechanical engineers,Men+,7650
446,Alberta,21301 Mechanical engineers,Women+,1040
447,Alberta,"2131 Electrical, electronics and computer engineers",Total - Gender,9145
448,Alberta,"2131 Electrical, electronics and computer engineers",Men+,7905
449,Alberta,"2131 Electrical, electronics and computer engineers",Women+,1230
